French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
aide,help
demande,request
genre,kind
mois,month
frère,brother
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,should
devrait,baby
bébé,long time
longtemps,hours
heures,will
vont,while
pendant,meet again
revoir,square
place,speak
parle,understood
compris,knew
savais,were
étaient,could
pourrais,case
affaire,give
donner,type
type,their
leurs,given
donné,train
train,body
corps,place
endroit,eyes
yeux,way
façon,listen
écoute,whose
dont,find
trouve,first
premier,lost
perdu,hand
main,first
première,side
côté,power
pouvoir,old
vieux,be
sois,morning
matin,so much
tellement,child
enfant,point
point,sorry
pardon,come
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
compte,account
donne,given
loin,far
croire,believe
chérie,sweetheart
gros,large
aura,will have
filles,girls
jouer,to play
bureau,office
